t	s
0.0	0.017677669529663688
0.05	0.053033008588991064
0.1	0.10606601717798213
0.15000000000000002	0.17677669529663687
0.2	0.2651650429449553
0.25	0.37123106012293744
0.3	0.49497474683058323
0.35	0.6363961030678927
0.39999999999999997	0.795495128834866
0.44999999999999996	0.9722718241315028
0.49999999999999994	1.1667261889578033
0.5499999999999999	1.3788582233137676
0.6	1.6086679271993956
0.65	1.8561553006146871
0.7000000000000001	2.1213203435596424
0.7500000000000001	2.4041630560342613
0.8000000000000002	2.7046834380385443
0.8500000000000002	3.022881489572491
0.9000000000000002	3.358757210636101
0.9500000000000003	3.712310601229375
1.0000000000000002	4.083541661352313
1.0500000000000003	4.472450391004914
1.1000000000000003	4.879036790187179
1.1500000000000004	5.3033008588991075
1.2000000000000004	5.7452425971407
1.2500000000000004	6.204862004911956
1.3000000000000005	6.682159082212875
1.3500000000000005	7.177133829043458
1.4000000000000006	7.689786245403705
1.4500000000000006	8.220116331293616
1.5000000000000007	8.76812408671319
1.5500000000000007	9.333809511662427
1.6000000000000008	9.917172606141328
1.6500000000000008	10.518213370149894
1.7000000000000008	11.136931803688123
1.7500000000000009	11.773327906756016
1.800000000000001	12.427401679353572
1.850000000000001	13.099153121480793
1.900000000000001	13.788582233137676
1.950000000000001	14.495689014324224
2.000000000000001	15.220473465040435
2.0500000000000007	15.96293558528631
2.1000000000000005	16.723075375061846
2.1500000000000004	17.500892834367047
2.2	18.296387963201912
2.25	19.109560761566442
2.3	19.940411229460636
2.3499999999999996	20.78893936688449
2.3999999999999995	21.65514517383801
2.4499999999999993	22.539028650321196
2.499999999999999	23.440589796334045
2.549999999999999	24.359828611876555
2.5999999999999988	25.29674509694873
2.6499999999999986	26.25133925155057
2.6999999999999984	27.223611075682072
2.7499999999999982	28.213560569343237
2.799999999999998	29.221187732534066
2.849999999999998	30.24649256525456
2.8999999999999977	31.289475067504718
2.9499999999999975	32.35013523928454
2.9999999999999973	33.428473080594024
3.049999999999997	34.52448859143317
3.099999999999997	35.63818177180198
3.149999999999997	36.769552621700456
3.1999999999999966	37.91860114112859
3.2499999999999964	39.08532733008639
3.2999999999999963	40.26973118857386
3.349999999999996	41.47181271659099
3.399999999999996	42.69157191413778
3.4499999999999957	43.929008781214236
3.4999999999999956	45.18412331782036
3.5499999999999954	46.45691552395614
3.599999999999995	47.74738539962159
3.649999999999995	49.055532944816704
3.699999999999995	50.38135815954148
3.7499999999999947	51.72486104379592
3.7999999999999945	53.08604159758002
3.8499999999999943	54.464899820893784
3.899999999999994	55.861435713737215
3.949999999999994	57.27564927611031
3.999999999999994	58.70754050801307
4.049999999999994	60.15710940944549
4.099999999999993	61.62435598040757
4.149999999999993	63.10928022089932
4.199999999999993	64.61188213092073
4.249999999999993	66.1321617104718
4.299999999999993	67.67011895955254
4.3499999999999925	69.22575387816295
4.399999999999992	70.79906646630302
4.449999999999992	72.39005672397275
4.499999999999992	73.99872465117214
4.549999999999992	75.62507024790119
4.599999999999992	77.26909351415992
4.6499999999999915	78.93079444994831
4.699999999999991	80.61017305526636
4.749999999999991	82.30722933011407
4.799999999999991	84.02196327449144
4.849999999999991	85.75437488839849
4.899999999999991	87.5044641718352
4.94999999999999	89.27223112480156
4.99999999999999	91.0576757472976
5.04999999999999	92.86079803932329
5.09999999999999	94.68159800087865
5.14999999999999	96.52007563196368
5.1999999999999895	98.37623093257837
5.249999999999989	100.25006390272272
5.299999999999989	102.14157454239673
5.349999999999989	104.05076285160041
5.399999999999989	105.97762883033376
5.449999999999989	107.92217247859676
5.4999999999999885	109.88439379638943
5.549999999999988	111.86429278371176
5.599999999999988	113.86186944056377
5.649999999999988	115.87712376694543
5.699999999999988	117.91005576285676
5.749999999999988	119.96066542829774
5.799999999999987	122.02895276326839
5.849999999999987	124.11491776776872
5.899999999999987	126.2185604417987
5.949999999999987	128.33988078535833
5.999999999999987	130.47887879844765
6.0499999999999865	132.63555448106663
6.099999999999986	134.80990783321528
6.149999999999986	137.00193885489358
6.199999999999986	139.21164754610155
6.249999999999986	141.43903390683917
6.299999999999986	143.68409793710646
6.349999999999985	145.9468396369034
6.399999999999985	148.22725900623
6.449999999999985	150.52535604508628
6.499999999999985	152.84113075347224
6.549999999999985	155.17458313138786
6.5999999999999845	157.52571317883314
6.649999999999984	159.89452089580809
6.699999999999984	162.2810062823127
6.749999999999984	164.68516933834695
6.799999999999984	167.10701006391088
6.849999999999984	169.54652845900446
6.8999999999999835	172.0037245236277
6.949999999999983	174.47859825778062
6.999999999999983	176.97114966146322
7.049999999999983	179.48137873467547
7.099999999999983	182.0092854774174
7.149999999999983	184.55486988968897
7.199999999999982	187.11813197149021
7.249999999999982	189.69907172282112
7.299999999999982	192.29768914368168
7.349999999999982	194.9139842340719
7.399999999999982	197.5479569939918
7.4499999999999815	200.19960742344134
7.499999999999981	202.86893552242057
7.549999999999981	205.55594129092947
7.599999999999981	208.26062472896803
7.649999999999981	210.98298583653624
7.699999999999981	213.72302461363412
7.7499999999999805	216.48074106026166
7.79999999999998	219.25613517641887
7.84999999999998	222.04920696210573
7.89999999999998	224.85995641732225
